slug,local_date,week,weekday_weekend,et_hour_block,winner,signal_family,observation_sec,threshold_bps,trend_bps,side,signal_ts,entry_delay_sec,execution_model,slippage_cents,entry_price,entry_status,notional,gross_pnl,fee_usdc,net_pnl,zero_fee_net_pnl,shares
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,0,first_trade,0.02,0.77,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,12.987012987012987
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,0,vwap_5s,0,0.75,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.333333333333334
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,0,vwap_5s,0.01,0.76,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.157894736842104
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,0,vwap_5s,0.02,0.77,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,12.987012987012987
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,0,vwap_10s,0,0.75,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.333333333333334
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,0,vwap_10s,0.01,0.76,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.157894736842104
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,0,vwap_10s,0.02,0.77,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,12.987012987012987
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,5,first_trade,0,0.75,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.333333333333334
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,5,first_trade,0.01,0.76,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.157894736842104
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,5,first_trade,0.02,0.77,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,12.987012987012987
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,5,vwap_5s,0,0.75,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.333333333333334
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,5,vwap_5s,0.01,0.76,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.157894736842104
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,5,vwap_5s,0.02,0.77,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,12.987012987012987
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,5,vwap_10s,0,0.7408294194715634,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.498384023589452
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,5,vwap_10s,0.01,0.7508294194715635,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.318604386916588
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,5,vwap_10s,0.02,0.7608294194715635,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.143550635759501
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,10,first_trade,0,0.74,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.513513513513514
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,10,first_trade,0.01,0.75,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.333333333333334
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,10,first_trade,0.02,0.76,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.157894736842104
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,10,vwap_5s,0,0.7399999915563578,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.513513667707128
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,10,vwap_5s,0.01,0.7499999915563578,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.33333348344253
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,10,vwap_5s,0.02,0.7599999915563578,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.157894883027048
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,10,vwap_10s,0,0.7391640469528579,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.528796538771287
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,10,vwap_10s,0.01,0.7491640469528579,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.348211303884506
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,60,5,9.575646098574087,UP,1785524460,10,vwap_10s,0.02,0.7591640469528579,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,13.172383544950693
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,0,first_trade,0,0.64,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.625
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,0,first_trade,0.01,0.65,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.384615384615383
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,0,first_trade,0.02,0.66,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.15151515151515
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,0,vwap_5s,0,0.64,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.625
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,0,vwap_5s,0.01,0.65,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.384615384615383
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,0,vwap_5s,0.02,0.66,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.15151515151515
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,0,vwap_10s,0,0.633277807210607,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.790858113356142
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,0,vwap_10s,0.01,0.643277807210607,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.545383173348048
